year,month,petitions,units
2022,April,5,11
2022,March,3,12
2022,February,9,22
2022,January,2,5
2021,December,2,8
2021,November,4,16
2021,October,3,6
2021,September,3,8
2021,August,3,6
2021,July,4,13
2021,June,1,3
2021,May,2,4
2021,April,7,21
2021,March,3,8
2021,February,3,12
2021,January,7,13
2020,December,7,15
2020,November,1,2
2020,October,5,5
2020,September,2,3
2020,August,4,11
2020,July,6,12
2020,June,9,19
2020,May,0,0
2020,April,0,0
2020,March,1,2
2020,February,13,33
2020,January,3,12
2019,December,1,2
2019,November,5,18
2019,October,5,20
2019,September,1,2
2019,August,9,23
2019,July,6,19
2019,June,4,13
2019,May,9,21
2019,April,4,14
2019,March,7,23
2019,January,8,20
2018,December,6,13
2018,November,6,31
2018,October,9,18
2018,September,5,13
2018,August,6,15
2018,July,7,27
2018,June,7,17
2018,May,8,20
2018,April,5,9
2018,March,11,32
2018,February,10,27
2018,January,11,43
2017,December,6,14
2017,November,6,14
2017,October,5,17
2017,September,10,30
2017,August,16,43
2017,July,3,10
2017,June,10,33
2017,May,12,29
2017,April,9,20
2017,March,11,38
2017,February,15,37
2017,January,2,9
2016,December,7,20
2016,November,5,10
2016,October,7,18
2016,September,9,21
2016,August,5,13
2016,July,2,4
2016,June,5,16
2016,May,6,24
2016,April,3,11
2016,March,6,12
2016,February,11,108
2016,January,8,29
2015,December,6,16
2015,November,7,22
2015,October,6,14
2015,September,6,11
2015,August,2,7
2015,July,2,3
2015,June,14,35
2015,May,6,22
2015,April,5,21
2015,March,9,25
2015,February,13,40
2015,January,2,4
2014,December,3,14
2014,November,7,15
2014,October,1,2
2014,September,0,0
2014,August,1,2
2014,July,2,11
2014,June,2,6
2014,May,3,8
2014,April,3,11
2014,March,9,32
2014,February,8,35
2014,January,2,4
2013,December,16,60
2013,November,6,21
2013,October,4,41
2013,September,5,25
2013,August,10,32
2013,July,8,29
2013,June,2,6
2013,May,9,34
2013,April,6,30
2013,March,1,6
2013,February,6,24
2013,January,4,18
2012,December,5,15
2012,November,5,11
2012,October,2,4
2012,September,9,23
2012,August,3,10
2012,July,5,11
2012,June,4,7
2012,May,6,19
2012,April,2,4
2012,March,5,6
2012,February,6,19
2012,January,2,5
2011,December,2,11
2011,November,2,8
2011,October,5,21
2011,September,2,4
2011,August,4,7
2011,July,2,8
2011,June,2,4
2011,May,2,3
2011,April,1,1
2011,March,2,3
2011,February,5,18
2011,January,0,0
2010,December,2,4
2010,November,1,1
2010,October,2,6
2010,September,3,12
2010,August,3,17
2010,July,1,3
2010,June,4,11
2010,May,1,1
2010,April,5,13
2010,March,4,18
2010,February,3,7
2010,January,5,18
2009,December,4,9
2009,November,2,8
2009,October,3,4
2009,September,1,1
2009,August,0,0
2009,July,2,16
2009,June,3,9
2009,May,0,0
2009,April,1,1
2009,March,0,0
2009,February,6,27
2009,January,1,6
2008,December,3,28
2008,November,4,15
2008,October,4,12
2008,September,5,19
2008,August,3,20
2008,July,6,27
2008,June,4,7
2008,May,11,50
2008,April,4,24
2008,March,10,22
2008,February,7,17
2008,January,6,22
2007,December,13,53
2007,November,5,22
2007,October,6,36
2007,September,9,38
2007,August,8,43
2007,July,7,15
2007,June,6,19
2007,May,11,48
2007,April,8,28
2007,March,4,12
2007,February,3,7
2007,January,5,14
2006,December,9,40
2006,November,11,40
2006,October,9,22
2006,September,9,37
2006,August,6,33
2006,July,7,28
2006,June,10,35
2006,May,7,38
2006,April,12,42
2006,March,11,94
2006,February,4,12
2006,January,9,58
2005,December,5,20
2005,November,5,11
2005,October,7,31
2005,September,6,17
2005,August,8,30
2005,July,14,57
2005,June,18,84
2005,May,21,109
2005,April,6,14
2005,March,4,9
2005,February,11,31
2005,January,10,42
2004,December,4,12
2004,November,10,31
2004,October,10,25
2004,September,13,43
2004,August,12,41
2004,July,16,48
2004,June,11,26
2004,May,8,37
2004,April,9,30
2004,March,8,28
2004,February,11,37
2004,January,14,38
2003,December,8,43
2003,November,14,46
2003,October,7,18
2003,September,8,19
2003,August,5,8
2003,July,2,4
